college,course,quota,category,min_rank,cutoff_rank
A.C.S. Medical College and Hospital,M.D. (RADIO- DIAGNOSIS),PS,General,34880,40234
A.C.S. Medical College and Hospital,M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),PS,General,65693,72668
A.C.S. Medical College and Hospital,M.S. (E.N.T.),PS,General,77475,87271
A.C.S. Medical College and Hospital,M.S. (E.N.T.),PS,OBC,89633,89633
A.C.S. Medical College and Hospital,M.S. (GENERAL SURGERY),PS,EWS,92219,92219
A.C.S. Medical College and Hospital,M.S. (GENERAL SURGERY),PS,General,71866,89320
A.C.S. Medical College and Hospital,M.S. (GENERAL SURGERY),PS,OBC,82736,82736
A.C.S. Medical College and Hospital,M.S. (OPHTHALMOLOGY),PS,General,56507,74756
A.C.S. Medical College and Hospital,M.S. (OPHTHALMOLOGY),PS,OBC,62923,62923
A.C.S. Medical College and Hospital,M.S. (ORTHOPAEDICS),PS,OBC,84083,84083
A.C.S. Medical College and Hospital,MD/MS (Anatomy),PS,General,96079,96079
A.C.S. Medical College and Hospital,MD/MS (Anatomy),PS,OBC,115677,115677
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (ANAESTHESIOLOGY ),PS,OBC,97216,97216
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",NR,General,124721,124721
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",PS,SC,58440,58440
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),PS,OBC,53807,53807
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (FORENSIC MEDICINE),PS,General,158454,159575
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (GENERAL MEDICINE),NR,OBC,70133,70133
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (GENERAL MEDICINE),PS,OBC,50145,50145
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (MICROBIOLOGY),PS,General,148980,148980
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (MICROBIOLOGY),PS,OBC,134169,134169
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (MICROBIOLOGY),PS,SC,91881,148085
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),PS,General,67360,70696
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PAEDIATRICS),NR,General,88122,88122
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PATHOLOGY),PS,General,111160,136642
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PATHOLOGY),PS,OBC,135499,135499
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PHARMACOLOGY),PS,General,132221,132221
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PHARMACOLOGY),PS,OBC,149978,167109
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PHYSIOLOGY),PS,OBC,189828,189828
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,OBC,130249,133140
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PSYCHIATRY),PS,General,96634,96634
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (PSYCHIATRY),PS,SC,95942,95942
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (RADIO- DIAGNOSIS),NR,General,114687,114687
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),PS,OBC,77506,77506
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.S. (E.N.T.),PS,General,79996,79996
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.S. (E.N.T.),PS,OBC,86001,86001
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.S. (GENERAL SURGERY),NR,General,130365,130365
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.S. (OPHTHALMOLOGY),PS,General,82083,82083
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.S. (ORTHOPAEDICS),PS,General,97025,97025
"A.C.S. Medical College and Hospital,A.C.S. Medical College and Hospital, Tamil Nadu, 600077",M.S. (ORTHOPAEDICS),PS,OBC,95743,95743
"AAKASH HOSPITAL,Tamil Nadu",(NBEMS) GENERAL SURGERY,AD,EWS,20675,20675
"AAKASH HOSPITAL,Tamil Nadu",(NBEMS) GENERAL SURGERY,AD,OBC,20935,21437
"AAKASH HOSPITAL,Tamil Nadu,NO 393-1 T H ROAD, THIRUVOTTIYUR, CHENNAI, Tamil Nadu, 600019",(NBEMS) GENERAL SURGERY,AD,OBC,19052,19052
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (ANAESTHESIOLOGY ),PS,EWS,51954,51954
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (ANAESTHESIOLOGY ),PS,General,86222,102941
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (ANAESTHESIOLOGY ),PS,OBC,84330,101128
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (ANAESTHESIOLOGY ),PS,SC,94125,95377
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",NR,General,78820,82098
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),PS,OBC,74600,77242
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (GENERAL MEDICINE),NR,OBC,117913,123364
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (GENERAL MEDICINE),PS,General,45033,54266
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (GENERAL MEDICINE),PS,OBC,45838,53220
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),NR,General,104294,104294
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),NR,OBC,122083,122083
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),PS,General,64112,67401
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PAEDIATRICS),PS,EWS,67049,67049
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PAEDIATRICS),PS,General,58305,68540
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PAEDIATRICS),PS,OBC,66161,68380
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,General,82507,82507
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,OBC,66557,113246
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PSYCHIATRY),PS,General,84907,86948
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PSYCHIATRY),PS,OBC,91532,91532
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (PSYCHIATRY),PS,SC,80520,91440
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (RADIO- DIAGNOSIS),NR,OBC,100290,126927
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (RADIO- DIAGNOSIS),PS,General,35109,37549
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),PS,OBC,71979,71979
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (E.N.T.),PS,General,83541,85629
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (E.N.T.),PS,OBC,82458,82458
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (GENERAL SURGERY),PS,EWS,83245,83245
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (GENERAL SURGERY),PS,General,84911,96132
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (GENERAL SURGERY),PS,OBC,84848,95807
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (GENERAL SURGERY),PS,ST,90866,90866
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (OPHTHALMOLOGY),PS,OBC,85476,85476
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (ORTHOPAEDICS),PS,General,83962,87937
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (ORTHOPAEDICS),PS,OBC,82292,91462
AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,M.S. (ORTHOPAEDICS),PS,SC,87820,87820
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (ANAESTHESIOLOGY ),PS,General,94807,94807
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (ANAESTHESIOLOGY ),PS,OBC,93499,93499
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (ANAESTHESIOLOGY ),PS,SC,93951,93951
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),NR,General,128136,128136
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),NR,OBC,139937,139937
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),PS,General,53337,54464
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (GENERAL MEDICINE),PS,OBC,56681,57066
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (MICROBIOLOGY),PS,General,156074,156074
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (MICROBIOLOGY),PS,OBC,126471,148196
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),NR,General,129526,129526
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),NR,OBC,133666,133666
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),PS,OBC,67518,68794
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PAEDIATRICS),NR,EWS,143654,143654
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PAEDIATRICS),NR,General,144851,144851
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PAEDIATRICS),NR,OBC,140417,140417
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PAEDIATRICS),PS,General,63926,65638
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PATHOLOGY),PS,General,138546,138546
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PATHOLOGY),PS,SC,137911,137911
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PHARMACOLOGY),PS,OBC,178127,178127
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PHARMACOLOGY),PS,SC,170385,170385
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,General,131555,131555
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,OBC,135992,135992
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PSYCHIATRY),PS,General,71528,75205
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (PSYCHIATRY),PS,OBC,67223,67223
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (RADIO- DIAGNOSIS),NR,General,128599,134969
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (RADIO- DIAGNOSIS),PS,General,34354,34354
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),PS,General,74586,74586
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (E.N.T.),PS,General,84056,84056
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (E.N.T.),PS,OBC,80773,86067
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (GENERAL SURGERY),PS,EWS,96288,96288
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (GENERAL SURGERY),PS,General,94415,94415
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (GENERAL SURGERY),PS,OBC,85520,85520
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (OPHTHALMOLOGY),PS,OBC,87078,87078
"AARUPADAI VEEDU MEDICAL COLLEGE AND HOSPITAL,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, Puducherry, 607402",M.S. (ORTHOPAEDICS),PS,General,90494,90494
"AAYUSH MULTISPECIALITY HOSPITAL, MORBI, Gujarat",(NBEMS) GENERAL MEDICINE,AD,EWS,6606,6606
"AAYUSH MULTISPECIALITY HOSPITAL, MORBI, Gujarat",(NBEMS) ORTHOPAEDICS,AD,EWS,16394,16394
"AAYUSH MULTISPECIALITY HOSPITAL, MORBI, Gujarat,Aayush multi-speciality hospital,savsar plot,morbi, Gujarat, 363641",(NBEMS) GENERAL MEDICINE,AD,General,7225,7225
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (ANAESTHESIOLOGY ),AI,EWS,15959,15959
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (ANAESTHESIOLOGY ),AI,OBC,17396,17396
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (GENERAL MEDICINE),AI,OBC,3460,4402
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (GENERAL MEDICINE),AI,SC,12851,12851
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (GENERAL MEDICINE),AI,ST,28289,28289
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,EWS,9506,9506
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),AI,OBC,10687,10687
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (PAEDIATRICS),AI,SC,17830,17830
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,AI,OBC,20398,20398
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),AI,EWS,14742,14742
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine),AI,OBC,8684,8684
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",MD/MS (Anatomy),AI,General,36560,36560
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE",MD/MS (Anatomy),AI,OBC,72300,72300
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (ANAESTHESIOLOGY ),AI,EWS,22801,22801
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (ANAESTHESIOLOGY ),AI,OBC,20474,20474
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (FORENSIC MEDICINE),AI,OBC,91397,91397
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (GENERAL MEDICINE),AI,EWS,3827,3892
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (GENERAL MEDICINE),AI,General,4095,4095
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (GENERAL MEDICINE),AI,OBC,4701,5191
"ACSR GOVERNMENT MEDICAL COLLEGE,NELLORE,Opp. AC Subbareddy Stadium Dargamitta Nellore, SPSR Nellore district, Andhra Pradesh., Andhra Pradesh, 524004",M.D. (GENERAL MEDICINE),AI,SC,18111,19548
